image,gt,width,height,seconds,psnr,ssim,lpips,intensity_mae,chroma_mae,high_clip_fraction,output_mean,output_path,status
10_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/10_GT.jpg,4080,3060,197.900745,22.308208,0.518651,0.146207,0.068647,0.107603,0.00001669,0.36553210,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/10_LOW_LCWHVI.png,ok
11_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/11_GT.jpg,4080,3060,191.489456,22.335240,0.624385,0.115501,0.058347,0.124748,0.00005786,0.22082260,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/11_LOW_LCWHVI.png,ok
12_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/12_GT.jpg,4080,3060,194.300276,12.744473,0.769826,0.166235,0.219433,0.044032,0.00000144,0.48380899,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/12_LOW_LCWHVI.png,ok
13_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/13_GT.jpg,4080,3060,183.190550,20.067872,0.532960,0.209668,0.080501,0.242652,0.00361234,0.15411948,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/13_LOW_LCWHVI.png,ok
15_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/15_GT.jpg,4080,3060,191.079653,13.797504,0.540919,0.171493,0.180822,0.098589,0.00000411,0.30050835,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/15_LOW_LCWHVI.png,ok
16_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/16_GT.jpg,4080,3060,186.245916,13.278190,0.204411,0.447825,0.200705,0.073329,0.00000000,0.40287736,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/16_LOW_LCWHVI.png,ok
17_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/17_GT.jpg,4080,3060,193.543273,15.303162,0.594309,0.192602,0.161902,0.082905,0.00006720,0.34680662,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/17_LOW_LCWHVI.png,ok
18_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/18_GT.jpg,4080,3060,192.990236,17.004306,0.648504,0.128697,0.125054,0.098435,0.00000000,0.44956475,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/18_LOW_LCWHVI.png,ok
19_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/19_GT.jpg,4080,3060,195.851558,18.506172,0.316748,0.433777,0.096470,0.120779,0.00000000,0.31771675,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/19_LOW_LCWHVI.png,ok
1_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/1_GT.jpg,4080,3060,193.394579,17.001737,0.480254,0.227534,0.136257,0.101288,0.00000000,0.46635818,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/1_LOW_LCWHVI.png,ok
20_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/20_GT.jpg,4000,3000,182.037919,21.352440,0.490156,0.203212,0.077911,0.122514,0.00000272,0.37924936,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/20_LOW_LCWHVI.png,ok
21_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/21_GT.jpg,4080,3060,182.038095,13.520897,0.497658,0.181245,0.180389,0.126054,0.00001087,0.25552267,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/21_LOW_LCWHVI.png,ok
22_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/22_GT.jpg,4080,3060,185.208782,18.411019,0.258473,0.535277,0.093705,0.106300,0.00002793,0.35640627,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/22_LOW_LCWHVI.png,ok
23_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/23_GT.jpg,4080,3060,191.554081,23.420349,0.476897,0.210570,0.054058,0.127199,0.00000115,0.32696050,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/23_LOW_LCWHVI.png,ok
2402141_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/2402141_GT.jpg,4080,3060,193.553123,11.366509,0.440373,0.405363,0.277084,0.209051,0.00000109,0.26145837,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/2402141_LOW_LCWHVI.png,ok
2402142_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/2402142_GT.jpg,4080,3060,181.233032,13.769592,0.411405,0.263074,0.186857,0.096593,0.00002291,0.30578223,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/2402142_LOW_LCWHVI.png,ok
2402143_LOW.jpg,/home/unicornio/User/DataSetsLLIE/LSD/Testing/In-the-wild/DEI/DEI_GT/2402143_GT.jpg,4080,3060,189.912639,15.375721,0.553966,0.466528,0.159487,0.199840,0.00018460,0.19638206,/home/unicornio/User/LCWNetV2/results/LCWHVINet_LSD_DEI/2402143_LOW_LCWHVI.png,ok
